WARD,ANC,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE
80,89,130,231,484,14951,581,7690,44,19,9,5,12,16
80,89,130,231,369,14952,562,7690,44,19,9,1,12,16
80,88,129,212,386,14953,532,7640,41,19,9,1,12,16
80,89,130,222,370,14954,582,7691,40,19,10,1,12,16
80,88,129,212,383,14955,542,7650,41,19,11,0,12,16
80,89,129,222,383,14956,583,7692,43,19,9,0,12,16
80,88,129,213,389,14957,584,7693,56,20,9,1,12,16
80,89,130,231,484,14958,585,7694,44,19,9,0,12,16
80,89,130,219,367,14959,586,7695,45,19,9,0,12,16
80,89,130,219,367,14960,587,7696,45,19,9,0,12,16
80,90,128,224,382,14961,588,7697,42,19,10,0,12,16
80,88,129,213,389,14962,584,7693,56,20,10,1,12,16
80,90,128,223,382,14963,589,7689,42,19,10,4,12,15
80,88,129,213,389,14964,590,7698,56,20,9,1,12,16
80,88,129,214,383,14965,553,7661,41,19,11,4,13,15
80,88,129,212,383,14966,591,7699,41,19,9,0,12,16
80,88,129,215,385,14967,592,7700,41,19,10,0,12,16
80,91,129,209,387,14968,549,7657,55,20,10,4,12,15
80,90,128,223,371,14969,593,7701,42,19,10,1,12,16
80,88,129,214,386,14970,507,7614,41,19,9,0,12,16
80,89,130,235,484,14971,594,7702,45,19,9,1,12,16
80,91,129,210,386,14972,595,7703,55,20,9,1,12,16
80,88,129,214,386,14973,596,7704,41,19,10,0,12,16
80,91,129,210,386,14974,597,7705,55,20,10,0,12,16
80,88,129,212,383,14975,591,7699,41,19,10,4,12,15
80,90,128,225,372,14976,529,7637,42,19,10,0,12,16
80,89,130,231,369,14977,598,7706,44,19,11,0,12,16
80,88,129,211,388,14978,599,7707,56,20,11,0,12,16
80,88,129,212,383,14979,579,7688,41,19,11,1,12,16
80,90,128,225,372,14980,529,7637,42,19,10,1,12,16
80,88,129,214,386,14981,507,7614,41,19,10,0,12,16
80,90,128,223,382,14982,600,7708,42,19,10,0,12,16
80,90,128,226,372,14983,601,7709,42,19,10,0,12,16
80,88,129,215,385,14984,602,7710,41,19,10,1,12,16
80,88,129,215,385,14985,515,7622,41,19,9,1,12,16
80,88,129,212,383,14986,542,7650,41,19,10,0,12,16
80,91,129,210,386,14987,533,7641,55,20,10,0,12,16
80,89,130,220,384,14988,603,7711,45,19,9,0,12,16
80,88,129,216,385,14989,543,7651,41,19,10,0,12,16
80,89,130,231,369,14990,604,7706,44,19,10,0,12,16
80,89,129,221,383,14991,562,7712,43,19,9,3,14,15
80,88,129,214,386,14992,507,7614,41,19,10,0,12,16
80,89,130,231,369,14993,557,7612,44,19,10,1,12,16
80,88,129,222,383,14994,605,7713,43,19,10,1,12,16
80,88,129,211,388,14995,606,7714,56,20,10,2,12,16
80,89,130,231,369,14996,576,7685,44,19,10,1,12,16
80,88,129,215,385,14997,607,7715,41,19,10,5,12,16
80,88,129,213,388,14998,536,7716,56,20,10,1,12,16
80,90,128,223,371,14999,608,7717,42,19,10,1,12,16
80,88,129,212,383,15000,542,7650,41,19,10,0,12,16
80,88,129,214,386,15001,507,7614,41,19,10,0,12,16
80,89,130,231,369,15002,609,7718,44,19,11,1,12,16
80,88,129,214,385,15003,610,7719,41,19,10,4,13,15
80,88,129,213,389,15004,590,7698,56,20,10,1,12,16
80,89,129,221,370,15005,611,7618,43,19,10,4,13,15
80,89,129,220,384,15006,612,7720,43,19,10,0,12,16
80,89,129,220,384,15007,574,7682,43,19,9,3,13,15
80,88,129,212,388,15008,613,7721,56,20,10,1,12,16
80,89,130,219,367,15009,614,7722,45,19,10,1,12,16
80,88,129,216,390,15010,615,7723,56,20,9,1,12,16
80,88,129,213,388,15011,536,7724,56,20,9,1,12,16
80,89,130,231,369,15012,616,7725,44,19,10,1,12,16
80,89,129,215,384,15013,617,7726,41,19,10,1,12,16
80,88,129,211,388,15014,618,7727,56,20,11,6,13,15
80,89,130,231,369,15015,619,7728,44,19,11,4,12,15
80,89,129,220,384,15016,620,7729,43,19,10,1,12,16
80,90,128,223,371,15017,522,7730,42,19,9,0,12,16
80,89,129,221,370,15018,511,7618,43,19,9,4,12,15
80,88,129,214,386,15019,507,7614,41,19,9,0,12,16
80,88,129,214,386,15020,507,7614,41,19,9,0,12,16
80,88,129,215,385,15021,515,7622,41,19,9,0,12,16
80,89,129,222,383,15022,547,7655,43,19,10,1,12,16
80,89,130,231,484,15023,621,7731,44,19,9,1,12,16
80,90,128,223,382,15024,522,7629,43,19,10,0,12,16
80,88,129,212,388,15025,613,7721,56,20,9,0,12,16
80,89,130,231,369,15026,622,7612,44,19,10,1,12,16
80,89,129,221,370,15027,611,7618,43,19,10,0,12,16
80,89,129,221,370,15028,511,7618,43,19,9,5,12,16
80,90,128,226,372,15029,623,7732,42,19,9,0,12,16
80,89,130,231,369,15030,598,7733,44,19,10,1,12,16
80,89,129,220,384,15031,624,7734,43,19,11,5,12,16
80,89,129,222,370,15032,521,7628,43,19,11,2,12,16
80,89,130,230,369,15033,505,7635,44,19,9,0,12,16
80,88,129,216,390,15034,625,7735,56,20,9,1,12,16
80,88,129,215,385,15035,626,7736,41,19,10,1,12,16
80,89,129,221,370,15036,627,7737,43,19,10,1,12,16
80,88,129,214,386,15037,507,7614,41,19,9,0,12,16
80,89,130,231,484,15038,585,7694,44,19,9,0,12,16
80,88,129,214,386,15039,507,7614,41,19,9,0,12,16
80,88,129,212,383,15040,542,7650,41,19,9,0,12,16
80,88,129,214,386,15041,507,7614,41,19,10,0,12,16
80,88,129,215,390,15042,628,7738,56,20,10,3,12,15
80,88,129,214,386,15043,507,7614,41,19,9,0,12,16
80,88,129,214,386,15044,507,7614,41,19,10,0,12,16
80,89,130,230,369,15045,505,7612,44,19,10,0,12,16
80,89,130,231,484,15046,629,7739,44,19,11,1,12,16
80,89,130,231,484,15047,630,7740,44,19,11,4,13,15
80,88,129,212,383,15048,528,7636,41,19,9,4,12,15
80,89,130,231,369,15049,562,7635,44,19,10,0,12,16
80,88,129,212,388,15050,599,7741,56,20,10,0,12,16
80,90,128,226,372,15051,530,7638,42,19,10,0,12,16
80,88,129,214,386,15052,507,7614,41,19,10,0,12,16
80,91,129,210,387,15053,631,7742,55,20,10,0,12,16
80,88,129,212,386,15054,632,7743,41,19,10,4,12,15
80,89,129,222,370,15055,633,7744,43,19,10,1,12,16
80,88,129,215,390,15056,634,7745,56,20,11,4,12,15
80,89,130,231,369,15057,635,7746,44,19,9,0,12,16
80,88,129,215,385,15058,636,7747,41,19,11,6,14,15
80,89,129,216,384,15059,637,7748,41,19,10,7,12,15
80,90,133,223,371,15060,638,7749,42,19,11,1,12,16
80,88,129,211,388,15061,639,7750,56,20,9,1,12,16
80,90,128,224,382,15062,640,7751,42,19,10,1,12,16
80,89,130,219,367,15063,641,7729,52,20,10,1,12,16
80,90,128,223,371,15064,642,7752,42,19,10,1,12,16
80,89,130,230,369,15065,516,7623,40,19,10,0,12,16
80,88,129,215,390,15066,554,7662,56,20,10,0,12,16
80,88,129,212,383,15067,542,7650,41,19,10,0,12,16
80,88,129,212,386,15068,532,7640,41,19,10,0,12,16
80,88,129,212,388,15069,613,7721,56,20,10,1,12,16
80,89,130,219,384,15070,643,7753,45,19,10,5,12,16
80,90,128,223,371,15071,644,7754,42,19,10,1,12,16
80,88,129,214,386,15072,509,7616,41,19,11,4,13,15
80,89,130,230,369,15073,505,7612,40,19,9,1,12,16
80,90,128,224,382,15074,645,7755,42,19,9,1,12,16
80,89,129,220,384,15075,646,7756,43,19,9,1,12,16
80,88,129,213,389,15076,647,7757,51,20,11,1,12,16
80,89,129,221,383,15077,648,7758,43,19,9,1,12,16
80,90,128,223,371,15078,649,7759,42,19,9,1,12,16
80,88,129,211,388,15079,537,7645,56,20,10,0,12,16
80,89,130,219,384,15080,650,7760,45,19,10,0,12,16
80,89,130,219,367,15081,641,7729,52,20,10,0,12,16
80,88,129,212,383,15082,528,7636,41,19,9,1,12,16
80,89,130,231,484,15083,651,7761,44,19,9,5,12,16
80,89,130,231,484,15084,651,7761,44,19,9,1,12,16
80,88,129,212,383,15085,542,7650,41,19,10,0,12,16
80,88,129,215,385,15086,592,7700,41,19,10,0,12,16
80,89,129,220,384,15087,652,7762,43,19,10,0,12,16
80,88,129,214,386,15088,507,7614,41,19,10,0,12,16
80,89,129,220,384,15089,646,7756,43,19,9,1,12,16
