0,Theft/Other',Offense',1,OFFENSE_Code'
1,Theft from Auto',Offense',2,OFFENSE_Code'
2,Burglary',Offense',3,OFFENSE_Code'
3,Assault with Dangerous Weapon',Offense',4,OFFENSE_Code'
4,Robbery',Offense',5,OFFENSE_Code'
5,Motor Vehicle Theft',Offense',6,OFFENSE_Code'
6,Homicide',Offense',7,OFFENSE_Code'
7,Sex Abuse',Offense',8,OFFENSE_Code'
8,Arson',Offense',9,OFFENSE_Code'
9,DAY',SHIFT',1,SHIFT_Code'
10,EVENING',SHIFT',2,SHIFT_Code'
11,MIDNIGHT',SHIFT',3,SHIFT_Code'
12,OTHERS',METHOD',1,METHOD_Code'
13,GUN',METHOD',2,METHOD_Code'
14,Knife',METHOD',3,METHOD_Code'
15,Property',CRIME',1,CRIME_TYPE'
16,Violent',CRIME',2,CRIME_TYPE'
17,DistrictID_1',DISTRICT',1,DistrictID'
18,DistrictID_2',DISTRICT',2,DistrictID'
19,DistrictID_3',DISTRICT',3,DistrictID'
20,DistrictID_4',DISTRICT',4,DistrictID'
21,DistrictID_5',DISTRICT',5,DistrictID'
22,DistrictID_6',DISTRICT',6,DistrictID'
23,DistrictID_7',DISTRICT',7,DistrictID'
24,PSA_ID_101',PSA',101,PSA_ID'
25,PSA_ID_102',PSA',102,PSA_ID'
26,PSA_ID_103',PSA',103,PSA_ID'
27,PSA_ID_104',PSA',104,PSA_ID'
28,PSA_ID_105',PSA',105,PSA_ID'
29,PSA_ID_106',PSA',106,PSA_ID'
30,PSA_ID_107',PSA',107,PSA_ID'
31,PSA_ID_108',PSA',108,PSA_ID'
32,PSA_ID_201',PSA',201,PSA_ID'
33,PSA_ID_202',PSA',202,PSA_ID'
34,PSA_ID_203',PSA',203,PSA_ID'
35,PSA_ID_204',PSA',204,PSA_ID'
36,PSA_ID_205',PSA',205,PSA_ID'
37,PSA_ID_206',PSA',206,PSA_ID'
38,PSA_ID_207',PSA',207,PSA_ID'
39,PSA_ID_208',PSA',208,PSA_ID'
40,PSA_ID_301',PSA',301,PSA_ID'
41,PSA_ID_302',PSA',302,PSA_ID'
42,PSA_ID_303',PSA',303,PSA_ID'
43,PSA_ID_304',PSA',304,PSA_ID'
44,PSA_ID_305',PSA',305,PSA_ID'
45,PSA_ID_306',PSA',306,PSA_ID'
46,PSA_ID_307',PSA',307,PSA_ID'
47,PSA_ID_308',PSA',308,PSA_ID'
48,PSA_ID_401',PSA',401,PSA_ID'
49,PSA_ID_402',PSA',402,PSA_ID'
50,PSA_ID_403',PSA',403,PSA_ID'
51,PSA_ID_404',PSA',404,PSA_ID'
52,PSA_ID_405',PSA',405,PSA_ID'
53,PSA_ID_406',PSA',406,PSA_ID'
54,PSA_ID_407',PSA',407,PSA_ID'
55,PSA_ID_408',PSA',408,PSA_ID'
56,PSA_ID_409',PSA',409,PSA_ID'
57,PSA_ID_501',PSA',501,PSA_ID'
58,PSA_ID_502',PSA',502,PSA_ID'
59,PSA_ID_503',PSA',503,PSA_ID'
60,PSA_ID_504',PSA',504,PSA_ID'
61,PSA_ID_505',PSA',505,PSA_ID'
62,PSA_ID_506',PSA',506,PSA_ID'
63,PSA_ID_507',PSA',507,PSA_ID'
64,PSA_ID_601',PSA',601,PSA_ID'
65,PSA_ID_602',PSA',602,PSA_ID'
66,PSA_ID_603',PSA',603,PSA_ID'
67,PSA_ID_604',PSA',604,PSA_ID'
68,PSA_ID_605',PSA',605,PSA_ID'
69,PSA_ID_606',PSA',606,PSA_ID'
70,PSA_ID_607',PSA',607,PSA_ID'
71,PSA_ID_608',PSA',608,PSA_ID'
72,PSA_ID_701',PSA',701,PSA_ID'
73,PSA_ID_702',PSA',702,PSA_ID'
74,PSA_ID_703',PSA',703,PSA_ID'
75,PSA_ID_704',PSA',704,PSA_ID'
76,PSA_ID_705',PSA',705,PSA_ID'
77,PSA_ID_706',PSA',706,PSA_ID'
78,PSA_ID_707',PSA',707,PSA_ID'
79,PSA_ID_708',PSA',708,PSA_ID'
80,WARD_1',WARD_ID',1,WARD'
81,WARD_2',WARD_ID',2,WARD'
82,WARD_3',WARD_ID',3,WARD'
83,WARD_4',WARD_ID',4,WARD'
84,WARD_5',WARD_ID',5,WARD'
85,WARD_6',WARD_ID',6,WARD'
86,WARD_7',WARD_ID',7,WARD'
87,WARD_8',WARD_ID',8,WARD'
88,ANC_11',ANC_ID',11,ANC'
89,ANC_12',ANC_ID',12,ANC'
90,ANC_13',ANC_ID',13,ANC'
91,ANC_14',ANC_ID',14,ANC'
92,ANC_21',ANC_ID',21,ANC'
93,ANC_22',ANC_ID',22,ANC'
94,ANC_23',ANC_ID',23,ANC'
95,ANC_24',ANC_ID',24,ANC'
96,ANC_25',ANC_ID',25,ANC'
97,ANC_26',ANC_ID',26,ANC'
98,ANC_32',ANC_ID',32,ANC'
99,ANC_33',ANC_ID',33,ANC'
100,ANC_34',ANC_ID',34,ANC'
101,ANC_35',ANC_ID',35,ANC'
102,ANC_36',ANC_ID',36,ANC'
103,ANC_41',ANC_ID',41,ANC'
104,ANC_42',ANC_ID',42,ANC'
105,ANC_43',ANC_ID',43,ANC'
106,ANC_44',ANC_ID',44,ANC'
107,ANC_51',ANC_ID',51,ANC'
108,ANC_52',ANC_ID',52,ANC'
109,ANC_53',ANC_ID',53,ANC'
110,ANC_54',ANC_ID',54,ANC'
111,ANC_55',ANC_ID',55,ANC'
112,ANC_61',ANC_ID',61,ANC'
113,ANC_62',ANC_ID',62,ANC'
114,ANC_63',ANC_ID',63,ANC'
115,ANC_64',ANC_ID',64,ANC'
116,ANC_65',ANC_ID',65,ANC'
117,ANC_72',ANC_ID',72,ANC'
118,ANC_73',ANC_ID',73,ANC'
119,ANC_74',ANC_ID',74,ANC'
120,ANC_75',ANC_ID',75,ANC'
121,ANC_76',ANC_ID',76,ANC'
122,ANC_81',ANC_ID',81,ANC'
123,ANC_82',ANC_ID',82,ANC'
124,ANC_83',ANC_ID',83,ANC'
125,ANC_84',ANC_ID',84,ANC'
126,ANC_85',ANC_ID',85,ANC'
127,NEIGHBORHOOD_CLUSTER_0',NEIGHBORHOOD_CLUSTER_ID',0,NEIGHBORHOOD_CLUSTER'
